Time=555000 | clk=1 | rf_portA=0010110011000100 | rf_portB=1011111100101001 | net_stream=0 | confSig=011 | confLoad=0 * opnX=0010110011000100 | opnY=1011111100101001
Time=560000 | clk=0 | rf_portA=1111010100110101 | rf_portB=0111100110100011 | net_stream=0 | confSig=101 | confLoad=0 * opnX=1111010100110101 | opnY=0111100110100011
Time=565000 | clk=1 | rf_portA=1111010100110101 | rf_portB=0111100110100011 | net_stream=0 | confSig=101 | confLoad=0 * opnX=1111010100110101 | opnY=0111100110100011
Time=570000 | clk=0 | rf_portA=1101110010101101 | rf_portB=1110011001000010 | net_stream=0 | confSig=110 | confLoad=0 * opnX=1101110010101101 | opnY=1110011001000010
Time=575000 | clk=1 | rf_portA=1101110010101101 | rf_portB=1110011001000010 | net_stream=0 | confSig=110 | confLoad=0 * opnX=1101110010101101 | opnY=1110011001000010
Time=580000 | clk=0 | rf_portA=0000100001100011 | rf_portB=1111111110100110 | net_stream=0 | confSig=000 | confLoad=0 * opnX=0000100001100011 | opnY=1111111110100110
Time=585000 | clk=1 | rf_portA=0000100001100011 | rf_portB=1111111110100110 | net_stream=0 | confSig=000 | confLoad=0 * opnX=0000100001100011 | opnY=1111111110100110
Time=590000 | clk=0 | rf_portA=0100111101111011 | rf_portB=1101011001111001 | net_stream=0 | confSig=100 | confLoad=0 * opnX=0100111101111011 | opnY=1101011001111001
Time=595000 | clk=1 | rf_portA=0100111101111011 | rf_portB=1101011001111001 | net_stream=0 | confSig=100 | confLoad=0 * opnX=0100111101111011 | opnY=1101011001111001
Time=600000 | clk=0 | rf_portA=1110101111000001 | rf_portB=0100101010011011 | net_stream=0 | confSig=001 | confLoad=0 * opnX=1110101111000001 | opnY=0100101010011011
Time=605000 | clk=1 | rf_portA=1110101111000001 | rf_portB=0100101010011011 | net_stream=0 | confSig=001 | confLoad=0 * opnX=1110101111000001 | opnY=0100101010011011
Time=610000 | clk=0 | rf_portA=1101110100101110 | rf_portB=0000100100010111 | net_stream=0 | confSig=010 | confLoad=0 * opnX=1101110100101110 | opnY=0000100100010111
Time=615000 | clk=1 | rf_portA=1101110100101110 | rf_portB=0000100100010111 | net_stream=0 | confSig=010 | confLoad=0 * opnX=1101110100101110 | opnY=0000100100010111
Time=620000 | clk=0 | rf_portA=0000101100100100 | rf_portB=0110101011000001 | net_stream=0 | confSig=010 | confLoad=0 * opnX=0000101100100100 | opnY=0110101011000001
Time=625000 | clk=1 | rf_portA=0000101100100100 | rf_portB=0110101011000001 | net_stream=0 | confSig=010 | confLoad=0 * opnX=0000101100100100 | opnY=0110101011000001
Time=630000 | clk=0 | rf_portA=1001101000001011 | rf_portB=1101011011100101 | net_stream=0 | confSig=110 | confLoad=0 * opnX=1001101000001011 | opnY=1101011011100101
Time=635000 | clk=1 | rf_portA=1001101000001011 | rf_portB=1101011011100101 | net_stream=0 | confSig=110 | confLoad=0 * opnX=1001101000001011 | opnY=1101011011100101
Time=640000 | clk=0 | rf_portA=0011100000000011 | rf_portB=0011000000111010 | net_stream=0 | confSig=000 | confLoad=0 * opnX=0011100000000011 | opnY=0011000000111010
Time=645000 | clk=1 | rf_portA=0011100000000011 | rf_portB=0011000000111010 | net_stream=0 | confSig=000 | confLoad=0 * opnX=0011100000000011 | opnY=0011000000111010
Time=650000 | clk=0 | rf_portA=1101100001110001 | rf_portB=1101110100000011 | net_stream=0 | confSig=110 | confLoad=0 * opnX=1101100001110001 | opnY=1101110100000011
Time=655000 | clk=1 | rf_portA=1101100001110001 | rf_portB=1101110100000011 | net_stream=0 | confSig=110 | confLoad=0 * opnX=1101100001110001 | opnY=1101110100000011
Time=660000 | clk=0 | rf_portA=1100001011100011 | rf_portB=0110110000111110 | net_stream=0 | confSig=001 | confLoad=0 * opnX=1100001011100011 | opnY=0110110000111110
Time=665000 | clk=1 | rf_portA=1100001011100011 | rf_portB=0110110000111110 | net_stream=0 | confSig=001 | confLoad=0 * opnX=1100001011100011 | opnY=0110110000111110
Time=670000 | clk=0 | rf_portA=0010100111111011 | rf_portB=0110100011110001 | net_stream=0 | confSig=000 | confLoad=0 * opnX=0010100111111011 | opnY=0110100011110001
Time=675000 | clk=1 | rf_portA=0010100111111011 | rf_portB=0110100011110001 | net_stream=0 | confSig=000 | confLoad=0 * opnX=0010100111111011 | opnY=0110100011110001
Time=680000 | clk=0 | rf_portA=1101111110110000 | rf_portB=0011011101001000 | net_stream=0 | confSig=011 | confLoad=0 * opnX=1101111110110000 | opnY=0011011101001000
Time=685000 | clk=1 | rf_portA=1101111110110000 | rf_portB=0011011101001000 | net_stream=0 | confSig=011 | confLoad=0 * opnX=1101111110110000 | opnY=0011011101001000
Time=690000 | clk=0 | rf_portA=1010100101010011 | rf_portB=1110101010001011 | net_stream=0 | confSig=010 | confLoad=0 * opnX=1010100101010011 | opnY=1110101010001011
Time=695000 | clk=1 | rf_portA=1010100101010011 | rf_portB=1110101010001011 | net_stream=0 | confSig=010 | confLoad=0 * opnX=1010100101010011 | opnY=1110101010001011
Time=700000 | clk=0 | rf_portA=0110101111010110 | rf_portB=1110111000110101 | net_stream=0 | confSig=100 | confLoad=0 * opnX=0110101111010110 | opnY=1110111000110101
Time=705000 | clk=1 | rf_portA=0110101111010110 | rf_portB=1110111000110101 | net_stream=0 | confSig=100 | confLoad=0 * opnX=0110101111010110 | opnY=1110111000110101
Time=710000 | clk=0 | rf_portA=1101111011001000 | rf_portB=0001101101000110 | net_stream=0 | confSig=100 | confLoad=0 * opnX=1101111011001000 | opnY=0001101101000110
Time=715000 | clk=1 | rf_portA=1101111011001000 | rf_portB=0001101101000110 | net_stream=0 | confSig=100 | confLoad=0 * opnX=1101111011001000 | opnY=0001101101000110
Time=720000 | clk=0 | rf_portA=0001000101110011 | rf_portB=1011011110001000 | net_stream=0 | confSig=101 | confLoad=0 * opnX=0001000101110011 | opnY=1011011110001000
Time=725000 | clk=1 | rf_portA=0001000101110011 | rf_portB=1011011110001000 | net_stream=0 | confSig=101 | confLoad=0 * opnX=0001000101110011 | opnY=1011011110001000
Time=730000 | clk=0 | rf_portA=0110001101100111 | rf_portB=1000011000001000 | net_stream=0 | confSig=111 | confLoad=0 * opnX=0110001101100111 | opnY=1000011000001000
Time=735000 | clk=1 | rf_portA=0110001101100111 | rf_portB=1000011000001000 | net_stream=0 | confSig=111 | confLoad=0 * opnX=0110001101100111 | opnY=1000011000001000
Time=740000 | clk=0 | rf_portA=0100111000111111 | rf_portB=0000100011110001 | net_stream=0 | confSig=000 | confLoad=0 * opnX=0100111000111111 | opnY=0000100011110001
Time=745000 | clk=1 | rf_portA=0100111000111111 | rf_portB=0000100011110001 | net_stream=0 | confSig=000 | confLoad=0 * opnX=0100111000111111 | opnY=0000100011110001
Time=750000 | clk=0 | rf_portA=0011001001010110 | rf_portB=0000010001011001 | net_stream=0 | confSig=110 | confLoad=0 * opnX=0011001001010110 | opnY=0000010001011001
Time=755000 | clk=1 | rf_portA=0011001001010110 | rf_portB=0000010001011001 | net_stream=0 | confSig=110 | confLoad=0 * opnX=0011001001010110 | opnY=0000010001011001
Time=760000 | clk=0 | rf_portA=0100010010001100 | rf_portB=1010110100000010 | net_stream=0 | confSig=100 | confLoad=0 * opnX=0100010010001100 | opnY=1010110100000010
Time=765000 | clk=1 | rf_portA=0100010010001100 | rf_portB=1010110100000010 | net_stream=0 | confSig=100 | confLoad=0 * opnX=0100010010001100 | opnY=1010110100000010
Time=770000 | clk=0 | rf_portA=1001110000010000 | rf_portB=0010101100011101 | net_stream=0 | confSig=000 | confLoad=0 * opnX=1001110000010000 | opnY=0010101100011101
Time=775000 | clk=1 | rf_portA=1001110000010000 | rf_portB=0010101100011101 | net_stream=0 | confSig=000 | confLoad=0 * opnX=1001110000010000 | opnY=0010101100011101
Time=780000 | clk=0 | rf_portA=0001100001101011 | rf_portB=1111111011011111 | net_stream=0 | confSig=000 | confLoad=0 * opnX=0001100001101011 | opnY=1111111011011111
Time=785000 | clk=1 | rf_portA=0001100001101011 | rf_portB=1111111011011111 | net_stream=0 | confSig=000 | confLoad=0 * opnX=0001100001101011 | opnY=1111111011011111
Time=790000 | clk=0 | rf_portA=1010111111010110 | rf_portB=1000000111100100 | net_stream=0 | confSig=001 | confLoad=0 * opnX=1010111111010110 | opnY=1000000111100100
Time=795000 | clk=1 | rf_portA=1010111111010110 | rf_portB=1000000111100100 | net_stream=0 | confSig=001 | confLoad=0 * opnX=1010111111010110 | opnY=1000000111100100
