time=132.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=133.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=134.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=135.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=136.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=137.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=138.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=139.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=140.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=141.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=142.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=143.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=144.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=145.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=146.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=147.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=148.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=149.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=150.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.5532 | 
time=151.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=152.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=153.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=154.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=155.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=156.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=157.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=158.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=159.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=160.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=161.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=162.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=163.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=164.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=165.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=166.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=167.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=168.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=169.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=170.00000n | op_bus0_=1.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0107 | 
time=171.00000n | op_bus0_=1.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=172.00000n | op_bus0_=1.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=173.00000n | op_bus0_=1.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=174.00000n | op_bus0_=1.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
